What are the three fundamental building blocks of GitHub Actions and how do they relate to each other hierarchically?	The three main building blocks are:<br><ol><li><strong>Workflows</strong> - Top level, defined at repository level</li><li><strong>Jobs</strong> - Middle level, defined within workflows</li><li><strong>Steps</strong> - Bottom level, defined within jobs</li></ol><strong>Hierarchy</strong>: Workflows contain one or more jobs → Jobs contain one or more steps → Steps contain actual scripts/actions	github-actions workflows fundamentals
Where must workflows be defined and what key responsibility do they have that jobs and steps don't?	<ul><li><strong>Location</strong>: Workflows must be defined at the <strong>repository level</strong> - they cannot exist outside a repository</li><li><strong>Unique responsibility</strong>: Workflows define the <strong>triggers</strong> that start the automation process</li><li><strong>Structure</strong>: Trigger configuration happens only at the workflow level, not at job or step levels</li></ul>	github-actions workflows triggers
What is the default execution behavior of jobs in a workflow, and what must you do if you want jobs to run sequentially?	<ul><li><strong>Default behavior</strong>: Jobs run <strong>in parallel</strong> by default</li><li><strong>Example</strong>: If you create 10 jobs without dependencies, all 10 will run simultaneously when triggered</li><li><strong>For sequential execution</strong>: You must explicitly specify <strong>job dependencies</strong> to control the order</li><li><strong>Key point</strong>: Each job runs on a <strong>separate virtual machine</strong>, so there's no shared state between jobs</li></ul>	github-actions jobs parallel-execution
What two main things does each job define, and why is the virtual machine separation important?	Each job defines:<br><ol><li><strong>Execution environment</strong> (Linux, Windows, or macOS via <code>runs-on</code>)</li><li><strong>One or more steps</strong> to execute</li></ol><strong>Virtual machine separation importance</strong>:<br><ul><li>Each job gets its own fresh VM instance</li><li>No shared file system or memory between jobs</li><li>State must be explicitly passed between jobs if needed</li><li>Enables true parallel execution without interference</li></ul>	github-actions jobs virtual-machines
How do steps execute within a job, and what's the only way to achieve parallel step execution?	<ul><li><strong>Default execution</strong>: Steps always run <strong>sequentially</strong> within a job</li><li><strong>No exceptions</strong>: This sequential behavior cannot be changed within a single job</li><li><strong>For parallel steps</strong>: You must place steps in <strong>different jobs</strong> and configure those jobs to run concurrently</li><li><strong>Execution flow</strong>: If any step fails, all subsequent steps in that job are <strong>skipped by default</strong></li></ul>	github-actions steps sequential-execution
What happens when a step fails in a job, and how is this visually represented in GitHub's interface?	<strong>When a step fails</strong>:<br><ul><li>The failing step shows a <strong>red X</strong></li><li>All subsequent steps in that job are <strong>skipped</strong></li><li>Skipped steps show a <strong>gray dash</strong></li><li>The entire job is marked as failed</li></ul><strong>Visual indicators</strong>:<br><ul><li>🟡 Yellow dot = queued/running</li><li>✅ Green check = success</li><li>❌ Red X = failed</li><li>➖ Gray dash = skipped</li></ul>	github-actions error-handling ui-indicators
What's the difference between "GitHub Actions" (the platform) and "a GitHub Action" (the code unit)?	<strong>GitHub Actions</strong> (platform):<br><ul><li>The entire CI/CD platform provided by GitHub</li><li>Includes workflows, runners, marketplace, etc.</li></ul><strong>A GitHub Action</strong> (code unit):<br><ul><li>A <strong>reusable piece of code</strong> that can be executed in a step</li><li>Often sourced from other repositories or GitHub Marketplace</li><li>Example: <code>actions/checkout@v3</code></li><li>Alternative to writing raw shell commands</li></ul><strong>Workflow vs Action</strong>:<br><ul><li><strong>Workflow</strong> = A YAML file defining the entire automation pipeline</li><li><strong>Action</strong> = A reusable component used within workflow steps</li></ul>	github-actions terminology actions-vs-workflows
What is the required directory structure for GitHub Actions workflows, and what file naming conventions should you follow?	<strong>Required structure</strong>:<br><code>.github/workflows/</code><br><br><strong>File requirements</strong>:<br><ul><li>Must be placed in <code>.github/workflows/</code> directory at repository root</li><li>Use <code>.yaml</code> or <code>.yml</code> extension</li><li>Descriptive naming (e.g., <code>01-building-blocks.yaml</code>)</li></ul><strong>VS Code enhancement</strong>:<br><ul><li>Install "GitHub Actions" extension for YAML validation and inline documentation</li></ul>	github-actions file-structure setup
What are the essential components of a basic workflow file structure?	<strong>Basic YAML structure</strong>:<br><code>name: workflow-name</code> (Workflow identifier)<br><code>on: trigger</code> (When to run: push, pull_request, etc.)<br><code>jobs:</code><br>&nbsp;&nbsp;<code>job-name:</code> (Job identifier)<br>&nbsp;&nbsp;&nbsp;&nbsp;<code>runs-on: environment</code> (ubuntu-latest, windows-latest, macos-latest)<br>&nbsp;&nbsp;&nbsp;&nbsp;<code>steps:</code> (Array of steps)<br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>- name: step-name</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>run: command</code><br><br><strong>Key points</strong>:<br><ul><li><strong>YAML indentation is crucial</strong> - be consistent (2 or 4 spaces)</li><li><code>on:</code> defines the trigger at workflow level</li><li>Each job needs <code>runs-on</code> to specify the runner environment</li></ul>	github-actions yaml-structure workflow-syntax
Create a workflow example that demonstrates both successful and failed step execution, explaining the expected behavior.	<strong>Example workflow</strong>:<br><br><code>name: error-handling-demo</code><br><code>on: push</code><br><code>jobs:</code><br>&nbsp;&nbsp;<code>success-job:</code><br>&nbsp;&nbsp;&nbsp;&nbsp;<code>runs-on: ubuntu-latest</code><br>&nbsp;&nbsp;&nbsp;&nbsp;<code>steps:</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>- name: This will succeed</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>run: echo "Success!"</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>- name: This will also run</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>run: echo "Still running"</code><br><br>&nbsp;&nbsp;<code>failure-job:</code><br>&nbsp;&nbsp;&nbsp;&nbsp;<code>runs-on: ubuntu-latest</code><br>&nbsp;&nbsp;&nbsp;&nbsp;<code>steps:</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>- name: This will fail</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>run: echo "About to fail" && exit 1</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>- name: This will be skipped</code><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<code>run: echo "Never reached"</code><br><br><strong>Expected behavior</strong>:<br><ul><li><code>success-job</code>: Both steps execute and show green checks</li><li><code>failure-job</code>: First step fails (red X), second step is skipped (gray dash)</li><li>Both jobs run in parallel despite one failing</li></ul>	github-actions error-handling workflow-examples
How do you fix a failing step and what commands are needed to deploy the changes?	<strong>Fix the failing step</strong>:<br><code>- name: Now successful</code><br><code>&nbsp;&nbsp;run: echo "This will succeed" && exit 0</code><br><br><strong>Deploy commands</strong>:<br><code>git add .</code><br><code>git commit -m "Fix failing step"</code><br><code>git push</code><br><br><strong>Result</strong>: New workflow run triggers automatically, showing successful execution with green check marks for all steps.	github-actions debugging git-workflow
